"Date.Lodged","National","Ashburton District","Auckland","Buller District","Carterton District","Central Hawkes Bay District","Central Otago District","Christchurch","Clutha District","Dunedin","Far North District","Franklin District","Gisborne District","Gore District","Grey District","Hamilton","Hastings District","Hauraki District","Horowhenua District","Hurunui District","Invercargill","Kaikoura District","Kaipara District","Kapiti Coast District","Kawerau District","Lower Hutt","Mackenzie District","Manawatu District","Manukau","Marlborough District","Masterton District","Matamata-Piako District","Napier","Nelson","New Plymouth District","North Shore","Opotiki District","Otorohanga District","Palmerston North","Papakura District","Porirua","Queenstown-Lakes District","Rangitikei District","Rodney District","Rotorua District","Ruapehu District","Selwyn District","South Taranaki District","South Waikato District","South Wairarapa District","Southland District","Stratford District","Tararua District","Tasman District","Taupo District","Tauranga District","Thames-Coromandel District","Timaru District","Upper Hutt","Waikato District","Waimakariri District","Waimate District","Waipa District","Wairoa District","Waitakere","Waitaki District","Waitomo District","Wanganui District","Wellington","Western Bay Of Plenty District","Westland District","Whakatane District","Whangarei District"
"1993-01-01",157.577071236157,112.272727272727,200.286363636364,92.4285714285714,98.3333333333333,NA,97.78125,153.079678362573,80.4166666666667,145.467934131737,133.616666666667,165.426136363636,122.416666666667,87.3214285714286,104.871304347826,140.918981481481,131.095890410959,110.75,121.893617021277,89,95.2730392156863,89.1,95.9090909090909,152.641509433962,119.285714285714,156.238926174497,NA,125.885714285714,199.351762820513,133.924637681159,113.177215189873,113.40350877193,137.942446043165,149.63768115942,131.834567901235,209.786703601108,106.3,NA,163.470110701107,171.357142857143,169.464285714286,177.216666666667,93.6,148.5625,131.243902439024,92.6111111111111,136.666666666667,109.534848484848,102.784838709677,113.333333333333,111.666666666667,92.1857142857143,93.3684210526316,135.42,126.944444444444,153.253205128205,130.284210526316,106.122950819672,161.071428571429,121.38203125,151.730769230769,NA,138.05,89.5458333333333,177.096685082873,95.67,90,125.64,196.306756756757,126.21875,NA,125.888695652174,123.145981308411
"1993-02-01",160.62617087846,97.8571428571429,204.641798493409,82.6090909090909,106.875,100.357142857143,102.871428571429,158.334155972359,75.975,167.212328482328,124.356097560976,150.386,122.549484536082,98.275,115.727272727273,139.318825910931,137.927083333333,123.888888888889,122,NA,104.193714285714,NA,101.866666666667,157.635135135135,115.228571428571,165.619289340102,NA,126.351351351351,185.691416893733,127.704918032787,106.35,116.6828125,141.724137931034,151.110236220472,127.355555555556,213.935461956522,NA,NA,159.623107049608,168.425619834711,169.386075949367,165.092592592593,92.6770833333333,161.197916666667,135.75,88.5892857142857,139.409090909091,100.044444444444,103.018867924528,110.118181818182,69.715,86.4545454545455,98.1666666666667,138.866666666667,130.691666666667,150.842857142857,137.5625,109.232394366197,164.632352941176,120.731818181818,149.153846153846,86,137.078571428571,109.42,184.448818181818,84.5839393939394,90.92,116.560747663551,195.257785467128,136,NA,128.756595744681,125.473684210526
"1993-03-01",162.079729223079,106.153846153846,198.459834834835,88.7272727272727,98.1818181818182,117.384615384615,102.641666666667,159.093181818182,82.9,179.692951070336,111.204861111111,144.532307692308,118.856756756757,88.3214285714286,107.969696969697,142.368288590604,138.292452830189,118.818518518519,118.214285714286,66.0285714285714,96.3076666666667,98,104.145454545455,150.310344827586,118.057142857143,166.8825,NA,132.48275862069,189.248922413793,130.760869565217,115.274647887324,114.137777777778,142.362204724409,148.25,144.264705882353,209.413436692506,103.266666666667,NA,167.643486590038,173.797709923664,178.888888888889,158.909722222222,102.725,161.732558139535,131.577114427861,87.7708333333333,160.5,123.801315789474,102.872916666667,106.153846153846,62.0136363636364,98.7142857142857,98.3076923076923,127,130.467289719626,157.470588235294,123.297826086957,99.8964705882353,149.69387755102,113.268421052632,146.142857142857,NA,137.794117647059,79.7563636363636,183.673384615385,79.4444444444444,79.0785714285714,118.522258064516,199.867213114754,128.5,114.333333333333,119.131896551724,124.304577464789
"1993-04-01",159.84326593515,117.474814814815,200.655081374322,89.4586666666667,110,104.230769230769,110.923076923077,152.89190897598,85.25,161.181918735892,120.250819672131,156.287878787879,121.585365853659,82.9333333333333,115.583333333333,139.8133640553,139.471544715447,123.947368421053,121.967164179104,82.64,99.3416363636364,99,113.14375,147.48,107.252631578947,170.855895196507,66.9166666666667,114.5,180.915233415233,130.105454545455,111.626865671642,120.517073170732,141.340740740741,152.006711409396,134.347058823529,219.384810126582,109,NA,171.486213235294,174.532446808511,173.45,168.505747126437,93.806,161.767676767677,126.542857142857,86.0862068965517,122.5,106.69696969697,97.1498333333333,100,79.01,92.5833333333333,85.8454545454545,136.617021276596,133.188118811881,152.551612903226,121.244117647059,104.086206896552,158.737704918033,108.68085106383,138.048780487805,95.7142857142857,137.353658536585,89.5833333333333,181.776466165414,80.3695,90.8333333333333,117.623529411765,191.82664874552,138.225806451613,116.25,140.034230769231,122.709459459459
"1993-05-01",161.190807008884,124.826086956522,209.377623853211,78,95,107.1875,110.308620689655,154.266332574032,81.0352941176471,145.463312883436,121.367924528302,154.558823529412,121.019565217391,88.0285714285714,104.454545454545,145.729468599034,144.119469026549,103.94375,122.082258064516,115,103.728970588235,100.833333333333,97.1307692307692,154.810344827586,116.1,165.386516853933,NA,131.785714285714,190.87950867052,130.356164383562,113.433333333333,110.815384615385,146.294117647059,153.630872483221,137.452380952381,216.623405639913,116,NA,153.2529296875,173.121212121212,161.9375,163.28547008547,97.5603448275862,166.382352941176,128.636815920398,92.5403225806452,252.85,102.272727272727,105.972222222222,108.333333333333,84.0846153846154,89.3888888888889,103.386363636364,159.027777777778,134.377272727273,154.2,123.829787234043,106.21875,143.571428571429,117.602739726027,141.363636363636,77.5,139.4475,96.9,186.07292,79.53375,83.2666666666667,117.8,209.158898305085,127.714285714286,NA,128.5,123.305555555556
"1993-06-01",159.778968966402,97.3529411764706,202.120241411328,98.4615384615385,114.583333333333,118.5,108.837837837838,155.396230492197,80.8166666666667,135.209394904459,118.966935483871,154.375,122.117647058824,88.5333333333333,105.333333333333,141.687861271676,138.587301587302,122.230769230769,126.630434782609,104,105.34375,NA,92.8291666666667,150,106.666666666667,165.233695652174,76.6666666666667,127.181818181818,185.758293838863,130.082191780822,110.6640625,115.706896551724,146.411764705882,153.780141843972,134.292201834862,208.988980716253,87.48,NA,157.577346938776,181.717171717172,174.157894736842,164.0625,110.452941176471,164.223300970874,130.049723756906,97.16,145,108.185576923077,105.731739130435,91.4090909090909,66.6666666666667,101.818181818182,105.346153846154,144.474074074074,136.249514563107,153.926940639269,123.592682926829,108.283333333333,155.132352941176,162.638888888889,143.75,NA,138.775714285714,79.8833333333333,184.655125,95.5,86.4285714285714,124.351851851852,203.080543933054,126.111111111111,NA,131.05701754386,124.262962962963
"1993-07-01",161.915304523629,128.064516129032,213.03270609319,93.414,104.545454545455,112.5,105.871739130435,156.350431565968,80.7777777777778,142.717866666667,117.276315789474,154.55737704918,127.55,90.6888888888889,115.208333333333,141.137279596977,137.512195121951,106.65,120.539682539683,83.3125,105.913565217391,121,99.31875,144.181818181818,125,172.910714285714,NA,136.264791666667,194.351162790698,130.756756756757,114.607843137255,110.378378378378,141.55905511811,150.40157480315,133.095979899497,216.530490196078,103.285714285714,NA,150.788306451613,181.5,173.076923076923,173.153846153846,97.3529411764706,164.205607476636,131.031088082902,93.9058823529412,136.381818181818,94.9554054054054,104.316666666667,105.952380952381,76.2823529411765,85.2,99.6025641025641,124.84347826087,126.663461538462,152.454787234043,124.736842105263,104.264179104478,159.75,119.917647058824,144.017857142857,NA,135.951612903226,94.7928571428571,182.908921933086,88.1509523809524,85.3333333333333,119.807692307692,198.861625708885,133.552631578947,100.428571428571,131.125,118.375968992248
"1993-08-01",160.55394345421,117.5,208.045811567164,93.75,109.642857142857,126.045,109.814814814815,151.018995098039,78.125,138.203571428571,116.51875,154.485119047619,127.88,95.1263157894737,110.2,140.885245901639,144.382978723404,116.272727272727,125.161290322581,86,105,112,100.890740740741,145.569620253165,121.875,164.784513274336,73.5714285714286,129.767441860465,196.362727272727,130.25,109.901639344262,118.243243243243,144.295104895105,151.561486486486,142.535,216.766949152542,NA,95.6416666666667,149.354137931034,177.252631578947,160.1,206.804054054054,102.255,162.195652173913,132.465406976744,96.8289473684211,132.083333333333,110.324038461538,111.7625,106.363636363636,66.6823529411765,97.1153846153846,97.0131428571429,147.205882352941,128.734939759036,155.878504672897,123.238095238095,114.814432989691,150.945945945946,113.328125,141.862745098039,95.5333333333333,139.907894736842,100,187.383294117647,92.0053333333333,76.0363636363636,118.212389380531,200.224669603524,129.183673469388,126.6,132.847101449275,127.693703703704
"1993-09-01",162.247735191638,115.333333333333,211.559394760614,66.3636363636364,101.428571428571,121.785714285714,109.12,154.226760204082,87.5833333333333,142.656357388316,117.891666666667,155.444444444444,126.104109589041,95,108.933333333333,142.014705882353,145.564516129032,123.157894736842,118.322580645161,NA,106.589351851852,112.2,128.922222222222,147.307692307692,103.168421052632,159.867214611872,66.3,143.413043478261,190.480049875312,131.679487179487,113.823529411765,112.021739130435,154.167785234899,152.390728476821,134.502864583333,217.769927536232,111,NA,150.622807017544,182.479591836735,173.328571428571,191.1625,98.3932,169.130434782609,136.428015564202,92.375,158.333333333333,115.459574468085,105.928571428571,111.5,92.5,98,104.038461538462,145.307692307692,132.389012345679,152.564171122995,131.911904761905,105.833333333333,135.606060606061,110.322222222222,143.589743589744,NA,139.293333333333,94.4125,182.950266666667,97.7777777777778,99.1666666666667,115.433070866142,201.588926441352,133.913043478261,112.222222222222,139.021212121212,122.680434782609
"1993-10-01",164.925780566916,113.947368421053,212.963853028798,95,113.333333333333,91.9971428571429,113.5953125,153.970430267062,89,171.329428571429,116.347619047619,159.112903225806,131.31875,92.2315789473684,114.5,149.757961783439,144.318181818182,118.611111111111,126.808510638298,62.7142857142857,102.737894736842,NA,94.559375,144.36170212766,113.823529411765,163.027607361963,NA,137.488372093023,194.471631205674,132.857142857143,112.275862068966,115.416666666667,145.671428571429,153.957142857143,132.267080745342,216.432038834951,109.166666666667,NA,161.30376344086,179.956043956044,164.752808988764,177.1459375,103.36,164.336734693878,131.615168539326,93.8823529411765,118.333333333333,100.352,105.39,105.383333333333,81.8239130434783,94.4117647058823,99.4571428571429,137.269230769231,160.34375,156.546774193548,129.558823529412,110.166666666667,160.614035087719,118.390625,136.25,NA,131,95.5555555555556,189.38612565445,87.7082352941176,NA,119.707317073171,198.675480769231,135.217391304348,117.933333333333,138.088524590164,125.20652173913
